id,subject,topic,difficulty,question,option_a,option_b,option_c,option_d,correct
194,Mining Engineering,Mine Legislation,5,No person can be appointed as the presiding officer of the Tribunal unless he has been a judge of the highcourt for not less than.... ?,3 years,5 years,7 years,2 years,3
195,Mining Engineering,Mine Legislation,5,A copy of the entries in the register regarding accidents shall be sent by the owner of the mine to the chief inspector on or before....in the year following that to which the entries relate?,20 th jan,20 th feb,20th march,20 th april,0
196,Mining Engineering,Open Cast Mining,5,Generally the length of sub grade drilling is?,upto 0.5 m,0.5 to 3 m,3 to 5 m,5 to 6 m,1
197,Mining Engineering,Open Cast Mining,5,Specific gravity of the earth...gm/cu.cm?,5.5,3.7,6.5,2.7,0
198,Mining Engineering,Mine Machinery,5,The safety device used behind an ascending set of tubs on direct or endless haulage to arrest runaway of tubs is?,Back catch,Drop warwick,Back stay,Runaway switch,2
199,Mining Engineering,Mine Machinery,5,The limiting thickness of the seam for the continuous miner is?,3 m,4 m,5 m,2 m,0
200,Mining Engineering,U/g Mines Ventilation,5,In self contained oxygen breathing apparatus the wearer can take more oxygen than he gets through the circuit by the ?,Main valve,Reducing valve,Relief valve,Byepass value,3
201,Mining Engineering,Mine Legislation,5,The number of members are nominated in the safety committee is?,5,10,13,15,2
202,Mining Engineering,U/g Mines Ventilation,5,In gas mask the use of charcoal is ?,To remove dust and smoke,To remove ammonia and water vapour,COnverts CO to CO2,To remove organic vapours and acidic gases,3
203,Mining Engineering,U/g Mines Ventilation,5,The incubation period in SCCL mines is?,6 months,10 months,18 months,24 months,2
204,Mining Engineering,Mine Legislation,5,The fees for grant of first class manager's certificate is.....Rs?,100,75,50,25,0
205,Mining Engineering,Open Cast Mining,5,The VOD of OCG is ?,5000 m/s,7000 m/s,6000 m/s,3500 m/s,2
206,Mining Engineering,Open Cast Mining,6,Mica is a ?,Metallic minearal,Gangue mineral,Non metallic,Precipitate,2
207,Mining Engineering,Mine Machinery,6,The maximum gradient for wheel mounted machine is ?,1 in 15,1 in 10,1 in 3,1 in 6,0
208,Mining Engineering,Open Cast Mining,6,The holes treated with chemicals are called?,treating holes,test holes,product holes,weeping holes,2
209,Mining Engineering,Open Cast Mining,6,The drilling rods are made of?,cast iron,steel,Ni-cr,cast steel,2
210,Mining Engineering,U/g Mines Ventilation,6,The apparatus used to administer pure oxygen to an unconscious person or affected by noxious gasses is?,Smoke helmet,Reviving apparatus,Self rescuer,SCBA,1
211,Mining Engineering,U/g Mines Ventilation,6,Air samples behind the stoping should be drawn during the periods of?,High barometric pressure,Low barometric pressure,Medium barometric pressure,none,1
212,Mining Engineering,Mine Legislation,6,Child means a person who has not completed his?,16 th year,17 th year,18th year,15 th year,0
213,Mining Engineering,Mine Machinery,6,The steel is unweldable if it contains carbon content?,Less than 0.5 %,0.5 to 1 %,1 to 1.2 %,More than 1.25 %,3
214,Mining Engineering,Mine Legislation,6,If the monthly output of the mine is 35000 te then the number of surveyors required is?,2,3,4,5,1
215,Mining Engineering,Mine Legislation,6,The owner or manager shall provide suitable residential accomodation for the manager and u/m within a distance of....KM from all mine openings?,4,5,6,7,1
216,Mining Engineering,Mine Legislation,6,No person shall be allowed to work in a mine who has already been working in any other mine within the preceding...?,6 hours,9hours,12 hours,18 hours,2
217,Mining Engineering,Open Cast Mining,6,A landing or platform in a shaft including an excavation between top and bottom of the shaft is called?,midsetlanding,inset,collar,cover,1
218,Mining Engineering,Open Cast Mining,6,Which is used for raising and lowering the rods of circular section?,Bulldog,sludger,corebarrel,retainingkey,0
219,Mining Engineering,U/g Mines Ventilation,6,Isolation stoping in deg I and II gassy coal mine should have minimum thickness of?,1 m,2 m,3 m,4 m,0
220,Mining Engineering,U/g Mines Ventilation,6,The time interval that elapses between applicatic of a source of heat to firedamp air mixture and the actual moment of ignition of gas air mixture is?,Incubation period,Lag on ignition,Ignition time,Graham's ratio,1
221,Mining Engineering,U/g Mines Ventilation,6,Hoolamite is a mixture of?,Manganeese diaoxide + copper oxide,Potasium superoxide + copper oxide,silica gel +potasium pelladiam sulphate,Iodine pentaxide + sulphuric acid,3
222,Mining Engineering,Open Cast Mining,6,The method of sinking through loose deposits of sand upto 20m is ?,piling system,open caison,tubbing,cementation,0
223,Mining Engineering,U/g Mines Ventilation,6,The minimum distance between the fan and the corner of the drift to be ventilated should be?,3 m,4 m,5 m,6 m,2
224,Mining Engineering,Mine Legislation,6,Layoff compensation is paid if he is working below ground and attended ........days in one calendar year ?,190,240,170,250,0
225,Mining Engineering,Mine Legislation,6,Board of concillation members are.....?,1 to 2,2 to 4,4 to 6,2 to 8,1
226,Mining Engineering,Mine Legislation,6,Leave with wages are calculated in case of person employed above ground at the rate of one for every ...days of work performed by him?,15,20,30,25,1
227,Mining Engineering,Mine Legislation,6,According to mines rules the interior walls of a latrine shall be white washed once in atleast in every?,4 months,3 months,2 months,1 month,0
228,Mining Engineering,Mine Legislation,6,No employer carrying on any public utility service shall lockout any of his workmen without giving notice of lock out within........... weeks before lockingout?,2,4,6,8,2
229,Mining Engineering,Mine Legislation,6,The owner or manger shall inform to R.I by telephone and shall be give notice within ...of such accident occurance?,12 hours,24 hours,36 hours,48 hours,1
230,Mining Engineering,Open Cast Mining,6,"In respect of dipper shovel ""crowding"" means?",raising bucket to dumper height,Piercing the bucket into broken mineral,winging the bucket round,moving the shovel from one place to another,1
231,Mining Engineering,Mine Machinery,6,The resistance to motion of loco itself when in motion is called?,COefficient of friction,Tractive effort,Drawbar pull,Rolling resistance,3
232,Mining Engineering,U/g Mines Ventilation,6,The method of stoping where the orebody is thick veins type ore and walls are strong and steeply dipping ore i.e footwall steeper than angle of repose of the broken ore is?,Open stoping,Shrinkage stoping,Cut and fill stoping,Sublevel stoping,1
233,Mining Engineering,Mine Machinery,6,The electric coal drill is rated?,2 hrs,1 hr,1/2 hr,1/4 hr,2
234,Mining Engineering,Open Cast Mining,6,The metamorphic form of shale is?,Quartzite,slate,marble,talc,1
235,Mining Engineering,Mine Legislation,6,Register of second and final notice of medical by medical board is maintained in the form of?,FORM Q,FORM R,FORM S,FORM T,1
236,Mining Engineering,Mine Legislation,6,No apprentice or trainee of the age of ....years shall be employed in a mine except under immediate supervision of a competent person?,20 to 23 years,18 to 20 years,16 to 18 years,above 23 years,2
237,Mining Engineering,Mine Legislation,6,The welfare officer shall be assisted with additional welfare officer for every additional......persons employed?,1000,2000,5000,500,1
238,Mining Engineering,U/g Mines Ventilation,6,In metal mines a shaft is always sunk in?,Hanging wall,the mineral deposit,Across the deposit,foot wall,3
239,Mining Engineering,Open Cast Mining,6,while working contiguous seams ventilation may be through?,Bore holes,Main shafts,Stable pit,Lower seam only,2
240,Mining Engineering,Mine Legislation,6,On or before the ......every year the owner;agent or manager of mine shall exhibit on the notice board at the office of a mine information regarding leave with wages?,20 th feb,1 st jan,1 st may,20 th may,0
241,Mining Engineering,Open Cast Mining,6,while using non incentive delay detonators in BOS the max delay period(milliseconds) btw 1st and last shot in deg 1 and 2 is 'X' and deg 3 is 'Y'.Then X:Y is?,151:40:00,102:30:00,202:30:00,153:20:00,0
242,Mining Engineering,Open Cast Mining,6,Which is used for stripping top soil and making shallow cuts and trenches upto a depth of 3.5 to 6m?,dipper shovel,Tractor shovel,Ditching shovel,Stripper shovel,2
243,Mining Engineering,Mine Machinery,6,Usual length of the of the chain conveyor with multi drive is?,60 m,90 m,200 m,360 m,3
244,Mining Engineering,Open Cast Mining,6,The method of sinking where there is ground filling problem or considerable inrush of water uptp depth of 30m?,piling,open caison,Pneumatic caison,forced drop,2
245,Mining Engineering,Mine Machinery,6,Intrincically safe circuit or apparatus works on voltage not more than?,30 v,110 v,220 v,60 v,0
246,Mining Engineering,Open Cast Mining,6,The feed mechanism is not necessary beyond the depth of....m?,30,40,50,60,3
247,Mining Engineering,Mine Machinery,6,In long length of haulage system the effective signalling system is by the use of?,High capacity battery,110 v line current,Step down potential transformer,Relays,3
248,Mining Engineering,Open Cast Mining,6,Sheathed explosive coated with a sheath of?,Nacl,caco3,NaHCo3,NaCo3,2
249,Mining Engineering,Mine Machinery,6,The out put per month for the turn table circuit is?,50000,40000,30000,20000,2
250,Mining Engineering,Mine Machinery,6,The track guage for locomotive is?,1 to 1.2 m,0.9 to 1 m,1.2 to 1.3 m,0.7 to 0.9 m,0
251,Mining Engineering,Mine Legislation,6,If the depth of the shaft is 400 m then the maximim speed of the cage in shaft sinking is....m/sec?,1.5,2.5,3,3.5,1
252,Mining Engineering,Open Cast Mining,6,The percentage of recovery in BG method is?,50-60,60-70,70-80,80-90,2
253,Mining Engineering,Open Cast Mining,6,Heading advancing parallel to cleats are called?,bord,wall,slice,none,1
254,Mining Engineering,Mine Legislation,6,If the shaft exceeds ....... in depth;there shall be provided for each bucket or other means of conveyance a detaching hook?,30 m,45 m,60 m,100 m,1
255,Mining Engineering,Open Cast Mining,6,The limiting depth for the bord and pillar mining is?,200 m,300 m,400 m,500 m,1
256,Mining Engineering,U/g Mines Ventilation,6,Co is aslo called as?,Black damp,Marsh gas,Stink damp,White damp,3
257,Mining Engineering,Open Cast Mining,6,The method suitable for working seam under the workings of another seam which is water logged or on fire is?,Longwall retreat,Bord and pillar,Hydraulic mining,Longwall advancing,1
258,Mining Engineering,Mine Machinery,6,Roll rack chainless haulage is used?,Road headers,Prop free front faces,Gate roads transportation,Shearers,3
259,Mining Engineering,Open Cast Mining,6,Heavy roof fall and even premature collapse may taken place if line of goaf is?,parallel to strike,diagonal,right angle to fault,parallel to fault,3
260,Mining Engineering,Mine Machinery,6,If the wires in the strand and the strands in the rope are laid in the opposite direction is called?,Lang's lay,Ordinary lay,Right hand,Locked coil,1
261,Mining Engineering,Open Cast Mining,6,The constuients in slurry explosivie(TNT:AN:Water)?,20:16:05,21:05:15,15:21:05,65:15:20,1
262,Mining Engineering,Mine Legislation,6,The protective footwear shall be supplied at intervals of atleast...?,3 months,1 year,2 years,6 months,3
263,Mining Engineering,U/g Mines Ventilation,6,Drager SCBA contains ....lit of O2 with a pressure .... kg/sq.cm?,100 ; 200,200 ; 400,400 ; 200,300 ; 150,2
264,Mining Engineering,Mine Machinery,6,The capacity of the iron prop?,10 -15 te,15 -25 te,25-30 te,40 -50 te,2
265,Mining Engineering,Open Cast Mining,6,Shuttle cars are the transporting media for ?,Longwall,Bord and pillar,Open cast,Hydraulic mining,1
266,Mining Engineering,Mine Machinery,6,The capacity of the wooden cross bar is?,1 to 2 te,2 to 4 te,4 to 8 te,8 to 10 te,1
267,Mining Engineering,U/g Mines Ventilation,6,Ring rose detector works on the principle of?,Formation of gas cap,Wheatstone bridge,Diffusion-combustion-contraction,Optical properties,2
268,Mining Engineering,Open Cast Mining,6,The main fall on the L/W faces has generally occured after the face advance of .........m?,30,45,60,25,1
269,Mining Engineering,U/g Mines Ventilation,6,The quantity of air to be circulated by an auxiliary fan depends upon?,Length of the heading,Number of persons in the drift,Size of the drift,Rate of emission in the roadway,3
270,Mining Engineering,Mine Legislation,6,In every mine daily supervision shall be exercised by the manager;in case of below ground he shall visit on atleast....in every week?,4 days,3 days,5 days,2 days,0
271,Mining Engineering,Open Cast Mining,6,For every 1 deg deviation in slope angle changes the volume of the quarried ground by above?,1 %,2 %,3 %,4 %,3
272,Mining Engineering,Mine Legislation,6,No person shall be admitted as a candidate at any examination held by the board unless he is....of age?,20 years,18 years,16 years,23 years,0
273,Mining Engineering,Mine Machinery,6,No rope should be allowed to remain in use after the wires have lost their diameter by?,10 %,20 %,30 %,40 %,1
274,Mining Engineering,Open Cast Mining,6,The method of estimation in which the shape and size of the ore can be estimated is called?,Prospecting,Boring,Exploitation,Exploration,0
275,Mining Engineering,Mine Machinery,6,The property when the material fails to yield and change its shape it subjected to a stress but breaks suddenly is called?,Ductility,Mallability,Toughness,Brittleness,3
276,Mining Engineering,Mine Legislation,7,When it is intended to bring into use any new winding installation for lowering and raising persons;the owner or manager shall not less than ....before such use give notice to R.I?,30 days,60 days,100 days,120 days,1
277,Mining Engineering,Open Cast Mining,7,The size of the largest particle of the sand does not exceed if the dia of the pipe is D is ?,1/2 of D,1/3 of D,1/1.5 of D,D,1
278,Mining Engineering,Open Cast Mining,7,The delay period btw 2 consecutive shots with different delay numbers will not exceed ?,50ms,60ms,70ms,80ms,1
279,Mining Engineering,U/g Mines Ventilation,7,"In drager SCBA the O2 feed lit/min is supplied by?,Bypass valve,reducing valve,3 to wearer's requirement over and above 1.5 value,pressure guage valve,Lung govern 212,The duration of usage for chemical oxygen breathing apparatus is?",1/2 hour,1 hour,2 hour,3 hour,0
280,Mining Engineering,U/g Mines Ventilation,7,VOLSAFE boring apparatus can drill holes upto .....depth?,15 m,50 m,150 m,250 m,2
281,Mining Engineering,Mine Machinery,7,In wrought iron the % of phosphourus should not exceed ?,0.06,0.2,0.5,1,1
282,Mining Engineering,Mine Legislation,7,If the mine monthly output is 18000 te then the number of assitant or undermanagers required is?,2,3,4,1,1
283,Mining Engineering,Mine Legislation,7,IN every mine consisting of gassy seams of first degree the average monthly output exceeds .....the manager shall be assisted by ventilation officer?,5000,3000,7000,2500,0
284,Mining Engineering,Mine Legislation,7,Every plan in the mine unless otherwise provided be on a scale having R.F of?,2000:1,1200:1,2400:1,1500:1,1
285,Mining Engineering,Mine Machinery,7,The maximum angle of inclination for conveying coal on piled P.V.C belt is?,20 deg,18 deg,12 deg,16 deg,3
286,Mining Engineering,Open Cast Mining,7,Bulk strength of the timber prop is ...(kg/sq.cm)?,150-230,100-150,250-300,none of the above,0
287,Mining Engineering,Mine Legislation,7,Register of compensatory days of rest is maintained in the form of?,FORM F,FORM G,FORM H,FORM I,0
288,Mining Engineering,Open Cast Mining,7,Rhino exploder can blast maximum...........shots?,10,25,35,50,1
289,Mining Engineering,Mine Machinery,7,The limiting gradient of areal rope way in mountain region for bicable is?,1 in 3,1 in 5.5,1 in 7,1 in 4,3
290,Mining Engineering,U/g Mines Ventilation,7,The thickness of the bed in open stoping is?,2 to 3 m,4 to 6 m,7 to 10m,above 10m,0
291,Mining Engineering,U/g Mines Ventilation,7,The method of stoping for high grade ore with walls of the ore body and back of the stope are so weak which do not stand without support even for a week time is?,Sublevel stoping,Shrinkage stoping,Squareset stoping,cut and fill stoping,2
292,Mining Engineering,Mine Machinery,7,The size of direct rope haulage used underground generally ?,Less than 250 HP,Less than 200 HP,Less than 150 HP,More than 250 HP,2
293,Mining Engineering,U/g Mines Ventilation,7,The % of incombustable dust in the coal dust sample in a mine should be ....... for the stone to be effective inpreventing propagation of flame?,10 - 20 %,20 - 40 %,40 - 50 %,50 - 60 %,3
294,Mining Engineering,Mine Machinery,7,The loco can barely stop itself and the wheels begin to skid when the gradient is?,1 in 15,1 in 25,1 in 12,1 in 14,2
295,Mining Engineering,U/g Mines Ventilation,7,The quantity of moisture that would ensure non propagation of flame by coal dust atleat.....of the total mixture?,1/3,1/10,1/30,1/50,2
296,Mining Engineering,Mine Machinery,7,The maximum gradient of areal rope in a span is?,1 in 3,1 in 5,1 in 7,1 in 1,0
297,Mining Engineering,Mine Legislation,7,Where in any mine below ground a system of haulage roadways extends to a distance of more than ....from the shaft effiecient telephonic communication shall be provided?,30 m,100 m,400 m,600 m,3
298,Mining Engineering,Open Cast Mining,7,Parent rock of mica is?,Amphobole,Pegmatite,Orthoclase,none,1
299,Mining Engineering,Open Cast Mining,7,Searching for ore is called?,Mining,Exploration,Prospecting,Exploitation,1
300,Mining Engineering,Open Cast Mining,7,The average number of faces in a district if number of headings are 'N'?,2N-1,2(N-1),N-2,2(N-2),0
301,Mining Engineering,Mine Machinery,7,Turbine pumps are suitable for water quantities upt0?,1 lac lit/min,50000 lit/min,5000 lit/min,500 lit/min,2
302,Mining Engineering,Mine Machinery,7,The groove of the head gear pulley should be ....of the circumference of the rope is in contact with the groove?,1/4,1/2,1/3,3/4,2
303,Mining Engineering,U/g Mines Ventilation,7,The weight of CO2 abosorbant in a prototype breathing apparatus is?,1 kg,2 kg,3 kg,4 kg,1
304,Mining Engineering,U/g Mines Ventilation,7,The advantage of flourescent lamp in underground is?,More output,Reduce glare,Shall not produce shadow,All of the above,3
305,Mining Engineering,U/g Mines Ventilation,7,The minimum light required for reading and writing will be?,10 lumen/sq.m,10 lumen/sq.ft,1 lumen/sq.m,30 lumen/sq.m,0
306,Mining Engineering,Mine Legislation,7,Indian trade union act comes in?,1926,1948,1947,1966,0
307,Mining Engineering,Mine Machinery,7,The ropes required to carry the burden or load but more or less stationary is called?,Non-stranded,Stranded,Standing,Running,2
308,Mining Engineering,Mine Machinery,7,The method of nearly balancing the torques on the winding engine in deep shaft winding by the use of?,Balancing rope,Bi cyclo conical drum,Conical drum,Large cylindrical drum,1
309,Mining Engineering,Open Cast Mining,7,The process of treating holes with chemicals in cementation method is called?,defreezing,silicatisation,presilicatisation,thawing,1
310,Mining Engineering,Mine Machinery,7,Retractable supports for cages used while loading and unloading being carried at the top of the shaft are?,Safety catches,bell plates,keps,platform,2
311,Mining Engineering,Mine Legislation,7,ON every haulage roadway exceeding ......in length ;effective means of transmitting signals shall be provided?,30 m,50 m,100 m,60 m,0
312,Mining Engineering,Mine Machinery,7,Usually one motor drives a belt for a roadway of upto ?,100 m,150 m,200 m,250 m,2
313,Mining Engineering,Open Cast Mining,7,The stripping ration for Bucket wheel excavator?,2 : 1,4 to 5:1,8 to 10:1,3 to 4:1,3
314,Mining Engineering,Mine Legislation,7,A competent person means he is attained the age of?,18 years,16 years,20 years,23 years,2
315,Mining Engineering,Mine Machinery,7,If the wires in the strand and the strands in the rope are laid in the same direction is called?,Lang's lay,Ordinary lay,Right hand,Locked coil,0
316,Mining Engineering,Mine Machinery,7,By the process of normalising ?,Tensile strength of rope increases,Tensile strength of steel rod increases,The steel rod is drawn into wires,The impurities in the steel rod are removed,1
317,Mining Engineering,U/g Mines Ventilation,7,The method of stoping succesfully applied to all dips from horizontal to vertical is?,Rill stoping,Breast stoping,Overhand stoping,Underhand stoping,1
318,Mining Engineering,Mine Legislation,7,The floor of the cage ot other means of conveyance and the lowest part of the gae or fence does not exceed ......and that between any two membersof the gate does not exceed .......?,25 cm ;15 cm,15 cm ; 25 cm,30 cm ; 10 cm,10 cm ;30 cm,1
319,Mining Engineering,Open Cast Mining,7,The amount of energy released by an explosive during blasting is called..?,Density,Strength,Sensitivity,VOD,1
320,Mining Engineering,U/g Mines Ventilation,7,In anemometer the angle of yaw should be ?,less than 30 deg,less than 20 deg,less than 15 deg,less than 10 deg,3
321,Mining Engineering,Mine Machinery,7,The correct place for tension bogey is?,near the haulage engine,any point on the level roadway,at the point where slack rope is most likely to occur,none,2
322,Mining Engineering,Open Cast Mining,7,The face formed which is developed on bord and pillar method and extracting in longwall retreating with stowing is called?,Z shape face,Barry face,stable,none of the above,1
323,Mining Engineering,Mine Legislation,7,No adult shall work above ground ina mine for more than ....in any week?,36hours,24 hours,48 hours,60 hours,2
324,Mining Engineering,Mine Machinery,7,In designing a hoisting system the properties of rope that are most important are?,Weight per unit and type of rope,Weight per unit length and type of the core of rope,Strand diameter and weight to be hauled,Weight per unit length and breaking strength,3
325,Mining Engineering,U/g Mines Ventilation,7,Black damp is mixture of?,CO2+N2,CO2+H2,CO2+02,CO2+CO,0
326,Mining Engineering,Open Cast Mining,7,For deeper mines the sand:water ratio in sand stowing is?,1:1,1:3,3:1,1:1.3,3
327,Mining Engineering,Open Cast Mining,7,The elements in the delay element of short delay detonator?,Antimony and potasium permanganate,Redlead and silicon,silicon and Antimony,none of the above,1
328,Mining Engineering,Mine Machinery,7,The cutting unit of continuous miner of borer type the gearing is?,Compound wheel type,Spur gearing,Bevel,Sun and planet,1
329,Mining Engineering,Mine Machinery,7,Output power of the electric coal drill is?,1 kw,2 kw,3 kw,4 kw,0
330,Mining Engineering,Mine Machinery,7,When running the coefficient of friction is taken as?,0.01,0.0025,0.25,0.025,1
331,Mining Engineering,U/g Mines Ventilation,7,The white washing is not done from the face upto ?,400 m,300,100 m,60 m,2
332,Mining Engineering,Mine Legislation,7,No gallery in a seam or section shall exceed atleast .....in width?,3 m,2.5 m,4.8m,5.5 m,2
333,Mining Engineering,Open Cast Mining,7,The relative distance between roof and floor in a vertical plane is called........?,Convergence,Bed separation,Strain,Subsidence,0
334,Mining Engineering,Mine Machinery,7,The factor of safety for the rope haulage is?,10,9,6 to 7,5 to 6,2
335,Mining Engineering,Mine Machinery,7,The method of speed control and electric winder of large capacity i.e above 800kw is?,sheostatic control,Liquid control,Ward leonard speed control,Electrical breaking,2
336,Mining Engineering,Open Cast Mining,7,For given perimeter the greatest area of support is offered by ?,square,rectangle,rhombus,circular,0
337,Mining Engineering,Mine Legislation,7,Register of annual return for the year is maintained in the form of?,FORM Q,FORM R,FORM S,FORM T,3
338,Mining Engineering,Mine Legislation,7,The minimum wages act comes in?,1952,1948,1947,1955,1
339,Mining Engineering,Mine Machinery,7,The safety device consist of wooden beam or block lying across the rails to prevent backward running of tubs is?,Back catch,Drop warwick,Back stay,Stop block,3
340,Mining Engineering,Open Cast Mining,7,Once the pillar extraction is commenced the splitting is of pillars may be done upto.....pillars ahead of the pillar is under extraction?,1,2,3,4,1
341,Mining Engineering,Mine Machinery,7,The maximum width of the belt conveyor is?,1 m,1.5 m,1.8 m,2 m,1
342,Mining Engineering,Mine Legislation,7,If the coal containing more than 30 % V.M then the percentage of incombustable matter in stone dust is?,75 %,65 %,55%,85 %,3
343,Mining Engineering,U/g Mines Ventilation,7,Protomark apparatus contains ....lit of oxygen with ....kg/sq.cm pressure?,100 ; 200,200 ; 400,300 ; 400,300 ; 150,3
344,Mining Engineering,Mine Machinery,7,The ratio between drum dia to the rope dia is called?,Fill factor,Factor of safety,Capacity factor,Beding factor,3
345,Mining Engineering,Mine Legislation,7,The person employed in a underground mine shall not work more than ....hours including overtime ?,8,9,10,12,2
346,Mining Engineering,Mine Legislation,7,In opencast workings;workshops and mine entrances where ...persons are ordinarly employed for taking food and rest;shelters shall be provided?,50,25,75,100,1
347,Mining Engineering,Open Cast Mining,7,If the prop has to be set on looseground it should be placed on a flat base piece having thickness not less than..?,2 cm,3 cm,4 cm,5 cm,3
348,Mining Engineering,Mine Machinery,7,Where continuous movement of loaded and empty tubs are necessary the rope haulage suitable is?,Direct rope haulage,Endless rope haulage,Main tail rope haulage,Gravity,1
349,Mining Engineering,Mine Legislation,7,No person shall be employed in any seam where the outlets or openings of the seam are within......of an active fire or spantaneous heating in a higher seam or fire on the surface?,30 m,60 m,10 m,100 m,1
350,Mining Engineering,Mine Machinery,7,The electric cable used for water places is?,Compound insulated,Volcanised bitumen insulated cable,5 core individually screened cable,5 core collectively screened,0
351,Mining Engineering,Open Cast Mining,8,In resin capsule the mixture hardens within .... seconds and become solid?,20 - 30,30 - 40,40 - 50,50 - 60,1
352,Mining Engineering,Mine Machinery,8,"318,The breaking strength of the locked coil rope is......... if C is rope dia?",52 C*C,56 C*C,85 C*C,95 C*C,2
353,Mining Engineering,Open Cast Mining,8,The method of where the mineral is excavated in small open pits but it is transported to the surface through u/g excavations and transport system is called?,hydraulic,Glory hole mining,open pit mining,none,1
354,Mining Engineering,U/g Mines Ventilation,8,Anemometers are used to measrure air velocities between?,60 - 1000 m/min,0 - 10 m/min,10 -50 m/min,50 - 60 m/min,0
355,Mining Engineering,Mine Machinery,8,The total suction lift of a turbine pumps should not exceed?,2 m,5 m,7 m,9 m,1
356,Mining Engineering,Mine Legislation,8,Notice of opening is given in the form..?,FORM I,FORM II,FORM III,FORM IV,0
357,Mining Engineering,U/g Mines Ventilation,8,In electric lighting the power cannot be used at a voltage exceeding ?,30,110,220,250,1
358,Mining Engineering,U/g Mines Ventilation,8,The piller left to support the upper level is called?,Sill piller,Crown piller,Rib piller,Protective piller,1
359,Mining Engineering,Open Cast Mining,8,The minimum factor of safety in design pillar in bord and pillar mining?,1,2,3,4,1
360,Mining Engineering,Mine Legislation,8,No caving is permitted where thickness of the hard cover is less than atleast....?,7.5 m,15 m,10 m,20 m,0
361,Mining Engineering,Mine Legislation,8,The termination of the services of a worker not by way of disciplinary action is called?,Retrenchment,lockout,dismissal,layoff,0
362,Mining Engineering,U/g Mines Ventilation,8,Black damp is also called as?,stink damp or stythe,Marsh gas,choke damp,white damp,2
363,Mining Engineering,Mine Machinery,8,Example of non stranded rope is?,Performed rope,Equal lay ropes,Regular lay,Locked coil ropes,3
364,Mining Engineering,Open Cast Mining,8,The process of decay disintegration and decomposition of rocks under the influence of certain physical and chemical agencies of the atmoshere is?,Weathering,Erosion,Denudation,Sedimentation,0
365,Mining Engineering,Mine Legislation,8,In every mine the average monthly output of which exceeds atleast......the manager shall be assisted in the work by safety officer?,5000,3000,7000,1000,0
366,Mining Engineering,Mine Machinery,8,The main valve also called as?,Foot valve,Retaining valve,BYpass valve,Sluice valve,3
367,Mining Engineering,Mine Legislation,8,If a member of the commiittee intends to be absent from India for a period longer than ...he shall tender his resignation?,3 months,1 yr,9 months,6 months,3
368,Mining Engineering,U/g Mines Ventilation,8,Ammonia should not be used in U/g mines as it forms an explosive mixture with air if present ..... by volume?,30 %,40 %,50 %,20 %,0
369,Mining Engineering,Open Cast Mining,8,The stress due to weight of the strata is called?,Induced stress,Residual stress,Lateral stress,Burden stress,3
370,Mining Engineering,Mine Machinery,8,Suction head of Roto/Mono pump is?,4 m,5 m,8 m,10 m,2
371,Mining Engineering,Open Cast Mining,8,The max gap between two chock shield supports is..?,250mm,200mm,150mm,none of the above,2
372,Mining Engineering,Mine Legislation,8,Work's committee is formed employing more than ...........workers?,50,100,200,500,1
373,Mining Engineering,Mine Legislation,8,Every stopping between the main intake and main return airway shall be constructed of manosary or brickwork not less than atleast.....in thickness?,15 cm,25 cm,38 cm,50 cm,1
374,Mining Engineering,U/g Mines Ventilation,8,Air lock doors are required to be arranged where pressure on the door is?,more than 250 pa,less than 250 pa,more than 500 pa,less than 500 pa,0
375,Mining Engineering,U/g Mines Ventilation,8,The illumination at the pitbottom is?,20 to 40 lumens/sq.m,15 to 20 lumens/sq.m,40 to 60 lumens/sq.m,none,0
376,Mining Engineering,Mine Machinery,8,The angle of fleet should not exceed?,1 deg,1.5 deg,3 deg,5 deg,1
377,Mining Engineering,U/g Mines Ventilation,8,Spiralaram is worked on the principle of?,Formation of gas cap,Wheatstone bridge,Infraradiation,Optical properties,0
378,Mining Engineering,U/g Mines Ventilation,8,The quantity of air drawn by an auxiliary fan from the air way should not exceed?,equal to quantity,1/3 of quantity,3/4 of quantity,1/1.5 of quantity,1
379,Mining Engineering,U/g Mines Ventilation,8,The ignition temparature of the bituminous coal is?,500 deg,450 deg,398 deg,200 deg,3
380,Mining Engineering,Open Cast Mining,8,The folds which are characterised with a downward warping of strata and the curvature becomes upwards is?,Anticlines,Symmetric fold,Overturned fold,Synclines,3
381,Mining Engineering,Mine Machinery,8,The limiting gradient for the conveyor with rubber coating without breaking arrangement is?,1 in 3,1 in 4,1 in 5,1 n 6,2
382,Mining Engineering,Mine Machinery,8,The prefferable speed of the belt conveyor is?,20 to 30 m/min,30 to 45 m/min,45 to 60 m/min,45 to 150 m/min,2
383,Mining Engineering,Open Cast Mining,8,The maximum size of the boulder that can load by shovel is.....times the bucket capacity?,0.4,0.6,0.8,0.9,2
384,Mining Engineering,U/g Mines Ventilation,8,The water guage of a axial flow fan can be increased by?,increasing speed of rotation,changing the pitch of blades,installing 2 or more stages,enlarging the evasee of the fan,2
385,Mining Engineering,U/g Mines Ventilation,8,With a centrifugal fan for a given quantity of air increase of efficiency of the and reduction in cost of power can be obtained with?,well designed blades of the fan,well designed spiral casing,well designed evasee,well designed eye of the impeller,2
